,id,name,artists,year,release_date,popularity,duration_ms,acousticness,danceability,energy,valence,tempo,mode,key,playcount,listeners,period_5yr,similarity_to_first5,similarity_to_cumulative,similarity_to_period
10,6K0CJLVXqbGMeJSmJ4ENKK,Tied Together with a Smile,Taylor Swift,2006,10/24/06,47,248107,0.5405865041620185,0.3090909090909091,0.5528846153846154,0.16061249580865095,0.5587295418232067,1,2,3021891,336295,2005,0.7246872933589579,0.786051736081862,0.7830542717588718
11,2ZoOmCSgj0ypVAmGd1ve4y,Stay Beautiful,Taylor Swift,2006,10/24/06,49,236053,0.08920759412568771,0.4991735537190083,0.6141826923076924,0.5093327372303565,0.45388003627412876,1,8,3070926,352041,2005,0.9073294302686231,0.9039316991661481,0.9190523303201215
12,0JIdBrXGSJXS72zjF9ss9u,I'm Only Me When I'm With You,Taylor Swift,2006,10/24/06,50,213053,0.0044530146692995385,0.4479338842975206,0.9807692307692308,0.5249804403710742,0.5428883994760403,1,8,3782044,374390,2005,0.8504489317874266,0.7950144544190604,0.7943724595519861
13,7snx7w5WZLHovS0xC45ZfP,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006,10/24/06,60,204707,0.3407519342235243,0.5520661157024794,0.3870192307692308,0.23549793226779928,0.22619510299261558,1,10,4245409,438959,2005,0.7532558099585067,0.8094372930086444,0.838478905352736
14,43H3q2NWT9LCuYS1B5IUvV,Our Song,Taylor Swift,2006,10/24/06,62,203440,0.11619556181841219,0.6198347107438018,0.6502403846153847,0.5886889460154241,0.14822012062587261,1,2,10601165,907409,2005,0.8576491475114999,0.8288308855745568,0.8445749937502305
15,15DeqWWQB4dcEWzJg15VrN,Our Song,Taylor Swift,2006,10/24/06,66,201107,0.1141354116128607,0.6214876033057852,0.6658653846153847,0.5484519950821505,0.14737804263649573,1,2,10601165,907409,2005,0.8591498349157246,0.845874351442185,0.8523906325682505
16,2QA3IixpRcKyOdG7XDzRgv,The Outside,Taylor Swift,2006,10/24/06,46,207107,0.004854743959382079,0.4909090909090909,0.825721153846154,0.6065720353191014,0.3199032689899382,1,5,3040249,340016,2005,0.9016722895157065,0.8501169805990852,0.8403391921772192
17,4pJi1rVt9GNegU9kywjg4z,Teardrops on My Guitar - Pop Version,Taylor Swift,2006,10/24/06,48,179067,0.04120609433633806,0.2760330578512397,0.7632211538461539,0.48586118251928023,0.946171783909833,1,10,1249316,181910,2005,0.7246434136368768,0.7163622544227097,0.7117556708862841
18,7DQmwd7zye9xvzMQJnD8S8,Tim McGraw,Taylor Swift,2006,10/24/06,55,234547,0.6188722119729749,0.4661157024793388,0.45793269230769235,0.4456242315860065,0.053734651869125204,1,0,5517746,555058,2005,0.7189982204565686,0.7381904288871363,0.7505627789837985
19,73OX8GdpOeGzKC6OvGSbsv,A Place in this World,Taylor Swift,2006,10/24/06,49,199200,0.052330905446316085,0.46942148760330576,0.7920673076923078,0.4243880630378898,0.33462883793237463,1,9,3501695,394162,2005,0.9048660217222857,0.897777575635635,0.8979229608783824
20,1vrd6UOGamcKNGnSHJQlSt,Love Story,Taylor Swift,2008,11/11/08,68,235267,0.17490984267662957,0.5388429752066116,0.748798076923077,0.2768525762825528,0.36310115012019395,1,2,14273361,1483138,2005,0.8649681517422307,0.8999957615342703,0.9160058012331227
21,3GCL1PydwsLodcpv0Ll1ch,You Belong With Me,Taylor Swift,2008,11/11/08,68,231133,0.1666692418544236,0.6528925619834712,0.7992788461538463,0.4411534592600872,0.4421269306617149,1,6,13602576,1415858,2005,0.8927498204874025,0.8827894114309658,0.8780971835502844
